Date,Envelope,Name,Notes,Amount,Account,Status
08/02/2024,Gas,PETRO-CANADA 8362,,-40.37,Visa,Cleared
08/02/2024,Water,EPCOR WATER & SEWER,,-75.80,Chequing,Cleared
08/02/2024,Vehicle Repairs,CITY OF CALGARY PARKING,,-22.04,Visa,Cleared
08/03/2024,Groceries,SAFEWAY #7317,,-85.17,Visa,Cleared
08/04/2024,Household,LONDON DRUGS 7290,,-22.73,Visa,Cleared
08/04/2024,Fitness,GOODLIFE FITNESS 6822,,-49.99,Visa,Cleared
08/04/2024,Fun,CHAPTERS INDIGO #9142,,-49.36,Visa,Cleared
08/05/2024,Dining,SKIPTHEDISHES 2570,,-25.17,Chequing,Cleared
08/06/2024,Gas,SHELL #5061 CALGARY AB,,-54.65,Visa,Cleared
08/06/2024,Dining,SQ *BLUE DOOR COFFEE,,-5.31,Chequing,Cleared
08/08/2024,Household,STAPLES #6949,,-45.68,Visa,Cleared
08/09/2024,Gas,PETRO-CANADA 1505,,-48.00,Chequing,Cleared
08/09/2024,Household,SHOPPERS DRUG MART #4778,,-53.86,Chequing,Cleared
08/10/2024,Groceries,SAFEWAY #4411,,-131.46,Chequing,Cleared
08/10/2024,Groceries,CALGARY CO-OP #6441,,-135.01,Visa,Cleared
08/13/2024,Groceries,CALGARY CO-OP #1488,,-48.75,Visa,Cleared
08/13/2024,Dining,TIM HORTONS #1329,,-10.62,Visa,Cleared
08/14/2024,Fun,CINEPLEX ODEON #3147,,-38.54,Chequing,Cleared
08/15/2024,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
08/17/2024,Vehicle Repairs,CANADIAN TIRE #7681,,-100.03,Visa,Cleared
08/17/2024,Household,AMZN Mktp CA*NX58CU,,-58.41,Chequing,Cleared
08/18/2024,Groceries,COSTCO WHOLESALE #6153,,-299.44,Visa,Cleared
08/20/2024,Dining,TIM HORTONS #8587,,-13.45,Visa,Cleared
08/20/2024,Household,SHOPPERS DRUG MART #8670,,-37.60,Visa,Cleared
08/20/2024,Household,AMZN Mktp CA*1TGUO7,,-47.80,Visa,Cleared
08/21/2024,Utilities,CITY POWER 4682,,-90.45,Chequing,Cleared
08/22/2024,Groceries,SAFEWAY #7489,,-147.24,Chequing,Cleared
08/22/2024,Dining,SQ *BLUE DOOR COFFEE,,-7.78,Visa,Cleared
08/22/2024,Subscriptions,SPOTIFY P4430,,-11.99,Visa,Cleared
08/22/2024,Household,AMZN Mktp CA*9VZ7NV,,-23.42,Chequing,Cleared
08/24/2024,Gas,SHELL #6773 CALGARY AB,,-54.66,Visa,Cleared
08/24/2024,Phone,TELUS MOBILITY 7197,,-85.00,Chequing,Cleared
08/26/2024,Dining,TIM HORTONS #8798,,-4.70,Chequing,Cleared
08/26/2024,Household,STAPLES #6554,,-16.74,Visa,Cleared
08/27/2024,Subscriptions,NETFLIX.COM,,-18.99,Chequing,Cleared
08/30/2024,Gas,SHELL #2530 CALGARY AB,,-46.27,Chequing,Cleared
08/31/2024,Vehicle Repairs,JIFFY LUBE #1355,,-83.92,Visa,Cleared
09/01/2024,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
09/01/2024,Dining,SQ *BLUE DOOR COFFEE,,-6.92,Chequing,Cleared
09/01/2024,Household,AMZN Mktp CA*Q7QMQ7,,-104.57,Chequing,Cleared
09/02/2024,Household,SHOPPERS DRUG MART #3813,,-30.68,Chequing,Cleared
09/03/2024,Household,SHOPPERS DRUG MART #7958,,-39.31,Visa,Cleared
09/03/2024,Fitness,GOODLIFE FITNESS 9283,,-49.99,Visa,Cleared
09/06/2024,Groceries,COSTCO WHOLESALE #3687,,-175.99,Chequing,Cleared
09/06/2024,Utilities,CITY POWER 7706,,-120.05,Visa,Cleared
09/07/2024,Gas,SHELL #2705 CALGARY AB,,-70.22,Visa,Cleared
09/08/2024,Groceries,SAFEWAY #1238,,-99.12,Visa,Cleared
09/08/2024,Groceries,CALGARY CO-OP #7570,,-131.83,Visa,Cleared
09/08/2024,Dining,TIM HORTONS #4502,,-16.11,Visa,Cleared
09/11/2024,Dining,TIM HORTONS #6331,,-17.33,Chequing,Cleared
09/11/2024,Dining,SKIPTHEDISHES 6817,,-52.07,Chequing,Cleared
09/11/2024,Subscriptions,NETFLIX.COM,,-18.99,Visa,Cleared
09/11/2024,Vehicle Repairs,CANADIAN TIRE #9549,,-209.97,Chequing,Cleared
09/11/2024,Household,HOME DEPOT #1973,,-189.79,Visa,Cleared
09/13/2024,Groceries,CALGARY CO-OP #3776,,-46.74,Chequing,Cleared
09/13/2024,Fun,CINEPLEX ODEON #6154,,-54.92,Chequing,Cleared
09/15/2024,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
09/18/2024,Travel,FAIRMONT BANFF SPRINGS,,-392.31,Visa,Cleared
09/19/2024,Gas,SHELL #1824 CALGARY AB,,-82.11,Chequing,Cleared
09/19/2024,Gas,PETRO-CANADA 7732,,-69.02,Visa,Cleared
09/20/2024,Gas,SHELL #5792 CALGARY AB,,-71.96,Visa,Cleared
09/21/2024,Dining,TIM HORTONS #2166,,-14.74,Visa,Cleared
09/21/2024,Household,AMZN Mktp CA*DN6NBS,,-123.26,Chequing,Cleared
09/21/2024,Vehicle Repairs,CITY OF CALGARY PARKING,,-11.04,Chequing,Cleared
09/23/2024,Water,EPCOR WATER & SEWER,,-80.36,Visa,Cleared
09/24/2024,Household,PUROLATOR 3877,,-44.78,Visa,Cleared
09/25/2024,Dining,SQ *BLUE DOOR COFFEE,,-6.64,Visa,Cleared
09/25/2024,Subscriptions,SPOTIFY P1370,,-11.99,Chequing,Cleared
09/26/2024,Dining,TIM HORTONS #2656,,-7.51,Visa,Cleared
09/26/2024,Household,LONDON DRUGS 8107,,-81.11,Chequing,Cleared
09/27/2024,Household,AMZN Mktp CA*E8J8Q5,,-72.18,Chequing,Cleared
09/28/2024,Groceries,SAFEWAY #3933,,-104.95,Chequing,Cleared
09/29/2024,Gas,PETRO-CANADA 2247,,-77.35,Chequing,Cleared
09/29/2024,Household,PUROLATOR 7122,,-21.76,Visa,Cleared
09/30/2024,Groceries,SAFEWAY #2211,,-171.18,Chequing,Cleared
09/30/2024,Phone,TELUS MOBILITY 5449,,-85.00,Chequing,Cleared
09/30/2024,Travel,PARK N FLY YYC,,-44.10,Visa,Cleared
10/01/2024,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
10/01/2024,Subscriptions,NETFLIX.COM,,-18.99,Visa,Cleared
10/03/2024,Gas,PETRO-CANADA 5182,,-57.37,Chequing,Cleared
10/03/2024,Groceries,SAFEWAY #2719,,-169.67,Chequing,Cleared
10/04/2024,Fun,CINEPLEX ODEON #2348,,-47.11,Visa,Cleared
10/06/2024,Gas,SHELL #2501 CALGARY AB,,-83.25,Chequing,Cleared
10/06/2024,Groceries,SAFEWAY #4194,,-98.87,Chequing,Cleared
10/06/2024,Dining,TIM HORTONS #5888,,-4.34,Chequing,Cleared
10/06/2024,Phone,TELUS MOBILITY 6738,,-85.00,Visa,Cleared
10/07/2024,Groceries,SAFEWAY #9408,,-114.95,Visa,Cleared
10/07/2024,Dining,TIM HORTONS #7121,,-15.85,Visa,Cleared
10/07/2024,Household,LONDON DRUGS 8655,,-46.12,Visa,Cleared
10/07/2024,Household,AMZN Mktp CA*C17BUA,,-117.96,Visa,Cleared
10/09/2024,Dining,TIM HORTONS #2454,,-16.87,Visa,Cleared
10/09/2024,Clothing,SPORT CHEK #2892,,-115.02,Visa,Cleared
10/12/2024,Fun,CHAPTERS INDIGO #3572,,-55.86,Visa,Cleared
10/14/2024,Gas,SHELL #3572 CALGARY AB,,-82.45,Visa,Cleared
10/14/2024,Groceries,CALGARY CO-OP #7779,,-130.83,Chequing,Cleared
10/15/2024,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
10/15/2024,Fun,MEC CALGARY,,-68.52,Visa,Cleared
10/16/2024,Household,AMZN Mktp CA*B47JJV,,-32.60,Chequing,Cleared
10/18/2024,Household,SHOPPERS DRUG MART #9922,,-17.36,Chequing,Cleared
10/19/2024,Household,AMZN Mktp CA*ZWDYAR,,-82.29,Visa,Cleared
10/19/2024,Vehicle Repairs,CITY OF CALGARY PARKING,,-10.61,Visa,Cleared
10/20/2024,Groceries,COSTCO WHOLESALE #5774,,-296.68,Visa,Cleared
10/20/2024,Vehicle Repairs,CANADIAN TIRE #2981,,-133.38,Chequing,Cleared
10/22/2024,Gas,SHELL #6580 CALGARY AB,,-62.25,Visa,Cleared
10/22/2024,Dining,SQ *BLUE DOOR COFFEE,,-7.90,Chequing,Cleared
10/22/2024,Utilities,CITY POWER 6863,,-157.84,Visa,Cleared
10/24/2024,Water,EPCOR WATER & SEWER,,-91.30,Visa,Cleared
10/24/2024,Fitness,GOODLIFE FITNESS 5998,,-49.99,Visa,Cleared
10/26/2024,Subscriptions,SPOTIFY P5755,,-11.99,Visa,Cleared
10/27/2024,Gas,PETRO-CANADA 4206,,-48.17,Chequing,Cleared
10/27/2024,Dining,TIM HORTONS #8407,,-7.85,Chequing,Cleared
10/27/2024,Dining,SKIPTHEDISHES 6094,,-40.74,Visa,Cleared
10/29/2024,Groceries,CALGARY CO-OP #8444,,-130.70,Visa,Cleared
10/29/2024,Dining,SQ *BLUE DOOR COFFEE,,-11.50,Visa,Cleared
10/29/2024,Travel,PARK N FLY YYC,,-115.61,Visa,Cleared
10/30/2024,Household,SHOPPERS DRUG MART #3936,,-49.33,Chequing,Cleared
11/01/2024,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
11/01/2024,Gas,SHELL #7997 CALGARY AB,,-67.19,Chequing,Cleared
11/01/2024,Groceries,CALGARY CO-OP #6838,,-135.03,Chequing,Cleared
11/02/2024,Dining,TIM HORTONS #6709,,-4.40,Chequing,Cleared
11/02/2024,Fitness,GOODLIFE FITNESS 2962,,-49.99,Visa,Cleared
11/03/2024,Dining,TIM HORTONS #1295,,-13.53,Chequing,Cleared
11/03/2024,Household,AMZN Mktp CA*J4WP2W,,-66.50,Visa,Cleared
11/04/2024,Dining,SKIPTHEDISHES 1730,,-52.24,Chequing,Cleared
11/05/2024,Gas,PETRO-CANADA 9904,,-45.68,Visa,Cleared
11/05/2024,Household,AMZN Mktp CA*WPSYNR,,-125.38,Chequing,Cleared
11/07/2024,Subscriptions,NETFLIX.COM,,-18.99,Visa,Cleared
11/08/2024,Phone,TELUS MOBILITY 6344,,-85.00,Visa,Cleared
11/09/2024,Groceries,COSTCO WHOLESALE #3367,,-256.86,Visa,Cleared
11/12/2024,Groceries,SAFEWAY #2136,,-130.32,Visa,Cleared
11/12/2024,Vehicle Repairs,CITY OF CALGARY PARKING,,-3.15,Chequing,Cleared
11/12/2024,Clothing,MARK'S WORK WEARHOUSE 7951,,-86.54,Visa,Cleared
11/13/2024,Gas,SHELL #8091 CALGARY AB,,-58.17,Visa,Cleared
11/14/2024,Groceries,SAFEWAY #8334,,-147.66,Chequing,Cleared
11/14/2024,Household,SHOPPERS DRUG MART #1906,,-34.84,Chequing,Cleared
11/15/2024,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
11/15/2024,Dining,SQ *BLUE DOOR COFFEE,,-21.70,Chequing,Cleared
11/15/2024,Household,LONDON DRUGS 8853,,-28.24,Chequing,Cleared
11/16/2024,Travel,FAIRMONT BANFF SPRINGS,,-316.04,Visa,Cleared
11/17/2024,Dining,TIM HORTONS #3840,,-5.65,Chequing,Cleared
11/18/2024,Gas,PETRO-CANADA 7669,,-61.04,Chequing,Cleared
11/18/2024,Fun,CINEPLEX ODEON #7939,,-32.91,Visa,Cleared
11/22/2024,Utilities,CITY POWER 3501,,-129.48,Chequing,Cleared
11/22/2024,Water,EPCOR WATER & SEWER,,-91.14,Visa,Cleared
11/24/2024,Household,AMZN Mktp CA*1N8ONX,,-91.76,Visa,Cleared
11/25/2024,Groceries,CALGARY CO-OP #3014,,-138.22,Visa,Cleared
11/25/2024,Dining,SQ *BLUE DOOR COFFEE,,-9.38,Visa,Cleared
11/27/2024,Groceries,SAFEWAY #5114,,-94.36,Visa,Cleared
11/27/2024,Subscriptions,SPOTIFY P9250,,-11.99,Chequing,Cleared
11/28/2024,Gas,SHELL #4624 CALGARY AB,,-65.57,Visa,Cleared
11/28/2024,Household,SHOPPERS DRUG MART #9731,,-32.17,Visa,Cleared
11/29/2024,Vehicle Repairs,CANADIAN TIRE #2662,,-112.74,Chequing,Cleared
11/30/2024,Dining,TIM HORTONS #7604,,-10.53,Visa,Cleared
12/01/2024,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
12/01/2024,Dining,SQ *BLUE DOOR COFFEE,,-21.61,Chequing,Cleared
12/02/2024,Subscriptions,NETFLIX.COM,,-18.99,Visa,Cleared
12/04/2024,Gas,SHELL #8234 CALGARY AB,,-53.18,Chequing,Cleared
12/04/2024,Dining,TIM HORTONS #2871,,-13.21,Chequing,Cleared
12/04/2024,Utilities,CITY POWER 8086,,-118.41,Visa,Cleared
12/05/2024,Dining,THE COPPER POT 2080,,-39.72,Visa,Cleared
12/06/2024,Dining,TIM HORTONS #3164,,-11.32,Visa,Cleared
12/06/2024,Fitness,GOODLIFE FITNESS 7890,,-49.99,Chequing,Cleared
12/08/2024,Fun,CINEPLEX ODEON #3525,,-56.40,Visa,Cleared
12/09/2024,Groceries,COSTCO WHOLESALE #1968,,-289.72,Chequing,Cleared
12/09/2024,Dining,THE COPPER POT 6003,,-99.95,Visa,Cleared
12/10/2024,Vehicle Repairs,CITY OF CALGARY PARKING,,-8.75,Chequing,Cleared
12/12/2024,Gas,SHELL #1194 CALGARY AB,,-47.83,Chequing,Cleared
12/13/2024,Groceries,CALGARY CO-OP #6800,,-112.03,Visa,Cleared
12/14/2024,Dining,TIM HORTONS #8200,,-5.36,Visa,Cleared
12/14/2024,Household,SHOPPERS DRUG MART #2487,,-40.61,Visa,Cleared
12/15/2024,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
12/19/2024,Household,LONDON DRUGS 2606,,-82.53,Visa,Cleared
12/21/2024,Household,AMZN Mktp CA*7M1Q50,,-110.41,Chequing,Cleared
12/22/2024,Gas,PETRO-CANADA 8444,,-45.96,Visa,Cleared
12/22/2024,Groceries,SAFEWAY #8220,,-179.00,Chequing,Cleared
12/22/2024,Dining,TIM HORTONS #5539,,-6.57,Chequing,Cleared
12/23/2024,Dining,SQ *BLUE DOOR COFFEE,,-10.92,Visa,Cleared
12/24/2024,Dining,SKIPTHEDISHES 6042,,-66.31,Chequing,Cleared
12/24/2024,Phone,TELUS MOBILITY 6409,,-85.00,Chequing,Cleared
12/25/2024,Groceries,SAFEWAY #7843,,-112.80,Visa,Cleared
12/25/2024,Household,AMZN Mktp CA*3S7E41,,-28.14,Chequing,Cleared
12/26/2024,Groceries,SAFEWAY #2419,,-172.24,Chequing,Cleared
12/26/2024,Vehicle Repairs,CANADIAN TIRE #5958,,-247.93,Visa,Cleared
12/28/2024,Gas,PETRO-CANADA 8052,,-69.18,Chequing,Cleared
12/28/2024,Household,AMZN Mktp CA*2XANK2,,-104.13,Chequing,Cleared
12/29/2024,Groceries,CALGARY CO-OP #6822,,-99.92,Visa,Cleared
12/29/2024,Household,SHOPPERS DRUG MART #8311,,-62.79,Visa,Cleared
12/30/2024,Subscriptions,SPOTIFY P6446,,-11.99,Visa,Cleared
12/30/2024,Water,EPCOR WATER & SEWER,,-66.10,Chequing,Cleared
12/31/2024,Gas,SHELL #1635 CALGARY AB,,-48.16,Chequing,Cleared
01/01/2025,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
01/01/2025,Dining,TIM HORTONS #7859,,-16.74,Visa,Cleared
01/02/2025,Groceries,CALGARY CO-OP #6790,,-50.31,Visa,Cleared
01/02/2025,Water,EPCOR WATER & SEWER,,-72.50,Chequing,Cleared
01/02/2025,Household,AMZN Mktp CA*A2WDMP,,-40.12,Chequing,Cleared
01/03/2025,Gas,PETRO-CANADA 5133,,-46.39,Visa,Cleared
01/03/2025,Dining,TIM HORTONS #5415,,-15.43,Chequing,Cleared
01/03/2025,Fitness,GOODLIFE FITNESS 6840,,-49.99,Chequing,Cleared
01/04/2025,Gas,PETRO-CANADA 6505,,-42.98,Chequing,Cleared
01/04/2025,Fun,BANFF UPPER HOT SPRINGS,,-56.56,Visa,Cleared
01/05/2025,Gas,SHELL #1580 CALGARY AB,,-53.26,Chequing,Cleared
01/05/2025,Dining,SQ *BLUE DOOR COFFEE,,-14.67,Visa,Cleared
01/05/2025,Vehicle Repairs,CITY OF CALGARY PARKING,,-4.69,Visa,Cleared
01/06/2025,Dining,SQ *BLUE DOOR COFFEE,,-11.15,Visa,Cleared
01/07/2025,Dining,TIM HORTONS #1867,,-15.06,Chequing,Cleared
01/07/2025,Household,LONDON DRUGS 5500,,-89.20,Visa,Cleared
01/08/2025,Gas,SHELL #9717 CALGARY AB,,-64.46,Chequing,Cleared
01/08/2025,Groceries,SAFEWAY #3731,,-102.81,Chequing,Cleared
01/09/2025,Dining,SKIPTHEDISHES 4169,,-62.22,Chequing,Cleared
01/09/2025,Phone,TELUS MOBILITY 6168,,-85.00,Chequing,Cleared
01/09/2025,Vehicle Repairs,CANADIAN TIRE #6237,,-165.86,Chequing,Cleared
01/10/2025,Dining,TIM HORTONS #2542,,-7.09,Chequing,Cleared
01/12/2025,Household,AMZN Mktp CA*62MA8J,,-136.64,Visa,Cleared
01/12/2025,Dining,THE COPPER POT 2753,,-43.82,Visa,Cleared
01/14/2025,Household,SHOPPERS DRUG MART #5364,,-42.79,Chequing,Cleared
01/15/2025,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
01/15/2025,Clothing,WINNERS #2006,,-78.07,Visa,Cleared
01/17/2025,Gas,SHELL #3438 CALGARY AB,,-62.10,Chequing,Cleared
01/17/2025,Household,AMZN Mktp CA*1QKXMJ,,-132.54,Chequing,Cleared
01/19/2025,Household,SHOPPERS DRUG MART #3446,,-46.28,Chequing,Cleared
01/21/2025,Groceries,SAFEWAY #6772,,-89.09,Chequing,Cleared
01/22/2025,Fun,BANFF UPPER HOT SPRINGS,,-45.05,Visa,Cleared
01/23/2025,Fun,CINEPLEX ODEON #8778,,-20.07,Chequing,Cleared
01/24/2025,Subscriptions,SPOTIFY P5712,,-11.99,Visa,Cleared
01/24/2025,Utilities,CITY POWER 1331,,-101.84,Visa,Cleared
01/25/2025,Groceries,COSTCO WHOLESALE #8763,,-139.46,Visa,Cleared
01/27/2025,Subscriptions,NETFLIX.COM,,-18.99,Chequing,Cleared
01/28/2025,Groceries,SAFEWAY #6020,,-79.21,Chequing,Cleared
01/31/2025,Groceries,CALGARY CO-OP #3754,,-129.57,Chequing,Cleared
02/01/2025,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
02/01/2025,Dining,SKIPTHEDISHES 5189,,-52.61,Chequing,Cleared
02/02/2025,Household,SHOPPERS DRUG MART #4202,,-30.64,Chequing,Cleared
02/02/2025,Travel,PARK N FLY YYC,,-105.75,Visa,Cleared
02/04/2025,Groceries,CALGARY CO-OP #6668,,-139.47,Chequing,Cleared
02/06/2025,Dining,TIM HORTONS #4165,,-14.07,Chequing,Cleared
02/07/2025,Gas,SHELL #4185 CALGARY AB,,-61.52,Chequing,Cleared
02/08/2025,Fun,CINEPLEX ODEON #9634,,-29.24,Chequing,Cleared
02/09/2025,Dining,TIM HORTONS #8992,,-8.60,Visa,Cleared
02/09/2025,Water,EPCOR WATER & SEWER,,-87.16,Chequing,Cleared
02/10/2025,Household,AMZN Mktp CA*Z32K9D,,-96.26,Chequing,Cleared
02/11/2025,Household,AMZN Mktp CA*TE2GNO,,-32.95,Visa,Cleared
02/12/2025,Groceries,SAFEWAY #7811,,-116.19,Chequing,Cleared
02/14/2025,Gas,SHELL #9915 CALGARY AB,,-64.40,Chequing,Cleared
02/14/2025,Groceries,COSTCO WHOLESALE #6614,,-253.35,Chequing,Cleared
02/14/2025,Dining,TIM HORTONS #7222,,-9.96,Chequing,Cleared
02/14/2025,Fitness,GOODLIFE FITNESS 7280,,-49.99,Chequing,Cleared
02/15/2025,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
02/15/2025,Gas,PETRO-CANADA 4263,,-71.34,Chequing,Cleared
02/16/2025,Groceries,SAFEWAY #8037,,-68.33,Visa,Cleared
02/16/2025,Subscriptions,SPOTIFY P1246,,-11.99,Chequing,Cleared
02/17/2025,Groceries,CALGARY CO-OP #4988,,-67.78,Visa,Cleared
02/18/2025,Household,AMZN Mktp CA*VFP6OE,,-23.44,Chequing,Cleared
02/19/2025,Dining,SQ *BLUE DOOR COFFEE,,-8.42,Visa,Cleared
02/19/2025,Household,PUROLATOR 2184,,-25.60,Visa,Cleared
02/20/2025,Subscriptions,NETFLIX.COM,,-18.99,Visa,Cleared
02/21/2025,Utilities,CITY POWER 3500,,-162.93,Chequing,Cleared
02/21/2025,Household,SHOPPERS DRUG MART #7130,,-15.97,Visa,Cleared
02/22/2025,Gas,PETRO-CANADA 2410,,-65.61,Visa,Cleared
02/22/2025,Groceries,SAFEWAY #5129,,-92.46,Chequing,Cleared
02/22/2025,Vehicle Repairs,CANADIAN TIRE #9966,,-183.21,Visa,Cleared
02/23/2025,Gas,SHELL #9830 CALGARY AB,,-69.48,Visa,Cleared
02/23/2025,Dining,TIM HORTONS #8074,,-11.11,Visa,Cleared
02/23/2025,Dining,SQ *BLUE DOOR COFFEE,,-6.17,Chequing,Cleared
02/23/2025,Household,LONDON DRUGS 9818,,-27.55,Chequing,Cleared
02/27/2025,Phone,TELUS MOBILITY 3058,,-85.00,Visa,Cleared
02/27/2025,Vehicle Repairs,CITY OF CALGARY PARKING,,-24.02,Visa,Cleared
03/01/2025,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
03/01/2025,Gas,PETRO-CANADA 4705,,-59.75,Visa,Cleared
03/01/2025,Dining,TIM HORTONS #9498,,-8.46,Chequing,Cleared
03/02/2025,Groceries,CALGARY CO-OP #2056,,-73.77,Chequing,Cleared
03/02/2025,Utilities,CITY POWER 6485,,-148.48,Chequing,Cleared
03/04/2025,Dining,SQ *BLUE DOOR COFFEE,,-7.27,Chequing,Cleared
03/06/2025,Gas,PETRO-CANADA 7116,,-77.72,Chequing,Cleared
03/06/2025,Groceries,SAFEWAY #1021,,-163.49,Visa,Cleared
03/07/2025,Gas,SHELL #6590 CALGARY AB,,-52.70,Visa,Cleared
03/09/2025,Dining,TIM HORTONS #3171,,-4.50,Visa,Cleared
03/09/2025,Household,SHOPPERS DRUG MART #6779,,-48.94,Chequing,Cleared
03/09/2025,Household,LONDON DRUGS 1914,,-68.42,Chequing,Cleared
03/11/2025,Subscriptions,SPOTIFY P4820,,-11.99,Visa,Cleared
03/11/2025,Vehicle Repairs,CANADIAN TIRE #1986,,-42.59,Chequing,Cleared
03/11/2025,Household,AMZN Mktp CA*8WUV7O,,-69.27,Chequing,Cleared
03/12/2025,Groceries,CALGARY CO-OP #2256,,-75.33,Chequing,Cleared
03/13/2025,Groceries,SAFEWAY #7467,,-118.26,Visa,Cleared
03/13/2025,Subscriptions,NETFLIX.COM,,-18.99,Chequing,Cleared
03/15/2025,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
03/19/2025,Gas,SHELL #8775 CALGARY AB,,-84.32,Visa,Cleared
03/19/2025,Dining,TIM HORTONS #2564,,-11.77,Chequing,Cleared
03/19/2025,Dining,SQ *BLUE DOOR COFFEE,,-19.00,Visa,Cleared
03/20/2025,Dining,TIM HORTONS #7780,,-6.63,Visa,Cleared
03/21/2025,Dining,SKIPTHEDISHES 2799,,-27.51,Chequing,Cleared
03/21/2025,Household,AMZN Mktp CA*YUS3SC,,-69.69,Visa,Cleared
03/21/2025,Vehicle Repairs,CITY OF CALGARY PARKING,,-5.90,Chequing,Cleared
03/22/2025,Fun,CINEPLEX ODEON #3019,,-44.87,Chequing,Cleared
03/24/2025,Phone,TELUS MOBILITY 2784,,-85.00,Visa,Cleared
03/24/2025,Fitness,GOODLIFE FITNESS 2511,,-49.99,Chequing,Cleared
